"Source:","C:\Users\hr193\OneDrive\Documents\Projects\hoatzin\board\hoatzin.kicad_sch"
"Date:","11/10/2022 12:02:30 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Centerline_Pitch","Comment","Description","Digi-Key Part Number","EU_RoHS_Compliance","Farnell Part Number","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Number_of_Positions","Product_Type"
"","","J4","671-0501","Connector:DIN-5_180degree","footprints:6710501","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","","","","DIN Audio / Video Connector, 5 Contacts, Jack, PCB Mount, Through Hole Right Angle","","","2989966","","","DELTRON COMPONENTS","DELTRON COMPONENTS","671-0501","","","",""
"","","J5","671-0501","Connector:DIN-5_180degree","footprints:6710501","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","","","","DIN Audio / Video Connector, 5 Contacts, Jack, PCB Mount, Through Hole Right Angle","","","2989966","","","DELTRON COMPONENTS","DELTRON COMPONENTS","671-0501","","","",""
"","","J6","292304-1","292304-1:292304-1","TE_292304-1","https://datasheet.lcsc.com/lcsc/1811131825_TE-Connectivity-292304-1_C86462.pdf","","","2.5 mm[.098 in]","292304-1","USB-B (USB TYPE-B) USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle","A31725-ND","Compliant","","","C86462","TE Connectivity","TE Connectivity","292304-1","","","4","Connector"
"","","J7","0702462004","Connector:Conn_ARM_JTAG_SWD_20","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical","https://www.snapeda.com/parts/0702462004/Molex/datasheet/","","","","","Connector Header Through Hole 20 position 0.100"" (2.54mm)","WM3479-ND","","","","","Molex","Molex","0702462004","","","",""
"","","J8","SN37A14B","SamacSys_Parts:SN37A14B","footprints:SN37A14B","http://www.switchcraft.com/Drawings/SN37A_SERIES_CD.pdf","SN37A14B","https://www.arrow.com/en/products/sn37a14b/switchcraft","","","Phone Connectors 1/4"" R/A PH JACK","SC1570-ND","","","15.3416","","Switchcraft","Switchcraft","SN37A14B","502-SN37A14B","https://www.mouser.co.uk/ProductDetail/Switchcraft/SN37A14B?qs=Z0CQwBkL9d0m6Wr003lzVw%3D%3D","",""
"","","J9","SN37A14B","SamacSys_Parts:SN37A14B","footprints:SN37A14B","http://www.switchcraft.com/Drawings/SN37A_SERIES_CD.pdf","SN37A14B","https://www.arrow.com/en/products/sn37a14b/switchcraft","","","Phone Connectors 1/4"" R/A PH JACK","SC1570-ND","","","15.3416","","Switchcraft","Switchcraft","SN37A14B","502-SN37A14B","https://www.mouser.co.uk/ProductDetail/Switchcraft/SN37A14B?qs=Z0CQwBkL9d0m6Wr003lzVw%3D%3D","",""
"","","J10","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.snapeda.com/parts/TSW-103-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 4 position 0.100"" (2.54mm)","HTSW-103-14-TM-S-ND","","","","","Samtec","Samtec","TSW-103-14-TM-S","","","",""
"","","J11","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.snapeda.com/parts/TSW-103-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 4 position 0.100"" (2.54mm)","HTSW-103-14-TM-S-ND","","","","","Samtec","Samtec","TSW-103-14-TM-S","","","",""
"","","J12","Conn_01x02_Male","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.snapeda.com/parts/TSW-102-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 2 position 0.100"" (2.54mm)","HTSW-102-14-TM-S-ND","","","","","Samtec","Samtec","TSW-102-14-TM-S","","","",""
"","","J13","Conn_01x02_Male","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.snapeda.com/parts/TSW-102-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 2 position 0.100"" (2.54mm)","HTSW-102-14-TM-S-ND","","","","","Samtec","Samtec","TSW-102-14-TM-S","","","",""
"","","J14","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.snapeda.com/parts/TSW-103-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 4 position 0.100"" (2.54mm)","HTSW-103-14-TM-S-ND","","","","","Samtec","Samtec","TSW-103-14-TM-S","","","",""
"","","J15","Conn_01x04_Male","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","https://www.snapeda.com/parts/TSW-104-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 3 position 0.100"" (2.54mm)","HTSW-104-14-TM-S-ND","","","","","Samtec","Samtec","TSW-104-14-TM-S","","","",""
"","","J16","Conn_01x02_Male","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.snapeda.com/parts/TSW-102-14-TM-S/Samtec/datasheet/","","","","","Connector Header Through Hole 2 position 0.100"" (2.54mm)","HTSW-102-14-TM-S-ND","","","","","Samtec","Samtec","TSW-102-14-TM-S","","","",""
"","","R1","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 220Ω 0805 Chip Resistor - Surface Mount ROHS","P220ADCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-P06J221V","","","",""
